,year,county,deaths
0,2003,Albany,4
1,2003,Allegany,0
2,2003,Bronx,105
3,2003,Broome,5
4,2003,Cattaraugus,1
5,2003,Cayuga,1
6,2003,Chautauqua,3
7,2003,Chemung,2
8,2003,Chenango,1
9,2003,Clinton,1
10,2003,Columbia,3
11,2003,Cortland,0
12,2003,Delaware,0
13,2003,Dutchess,4
14,2003,Erie,12
15,2003,Essex,1
16,2003,Franklin,1
17,2003,Fulton,1
18,2003,Genesee,0
19,2003,Greene,3
20,2003,Hamilton,0
21,2003,Herkimer,2
22,2003,Jefferson,1
23,2003,Kings,151
24,2003,Lewis,0
25,2003,Livingston,1
26,2003,Madison,0
27,2003,Monroe,20
28,2003,Montgomery,0
29,2003,Nassau,58
30,2003,New York,119
31,2003,Niagara,6
32,2003,Oneida,1
33,2003,Onondaga,6
34,2003,Ontario,2
35,2003,Orange,9
36,2003,Orleans,0
37,2003,Oswego,0
38,2003,Otsego,0
39,2003,Putnam,1
40,2003,Queens,101
41,2003,Rensselaer,2
42,2003,Richmond,22
43,2003,Rockland,5
44,2003,Saratoga,2
45,2003,Schenectady,1
46,2003,Schoharie,2
47,2003,Schuyler,0
48,2003,Seneca,0
49,2003,St. Lawrence,0
50,2003,Steuben,2
51,2003,Suffolk,63
52,2003,Sullivan,3
53,2003,Tioga,0
54,2003,Tompkins,0
55,2003,Ulster,5
56,2003,Warren,1
57,2003,Washington,1
58,2003,Wayne,2
59,2003,Westchester,27
60,2003,Wyoming,3
61,2003,Yates,0
62,2004,Albany,7
63,2004,Allegany,0
64,2004,Bronx,79
65,2004,Broome,1
66,2004,Cattaraugus,1
67,2004,Cayuga,1
68,2004,Chautauqua,5
69,2004,Chemung,2
70,2004,Chenango,0
71,2004,Clinton,0
72,2004,Columbia,4
73,2004,Cortland,0
74,2004,Delaware,0
75,2004,Dutchess,5
76,2004,Erie,17
77,2004,Essex,1
78,2004,Franklin,0
79,2004,Fulton,0
80,2004,Genesee,0
81,2004,Greene,5
82,2004,Hamilton,0
83,2004,Herkimer,1
84,2004,Jefferson,1
85,2004,Kings,146
86,2004,Lewis,0
87,2004,Livingston,0
88,2004,Madison,0
89,2004,Monroe,8
90,2004,Montgomery,1
91,2004,Nassau,31
92,2004,New York,92
93,2004,Niagara,3
94,2004,Oneida,0
95,2004,Onondaga,1
96,2004,Ontario,0
97,2004,Orange,4
98,2004,Orleans,1
99,2004,Oswego,0
100,2004,Otsego,0
101,2004,Putnam,1
102,2004,Queens,73
103,2004,Rensselaer,0
104,2004,Richmond,36
105,2004,Rockland,3
106,2004,Saratoga,2
107,2004,Schenectady,1
108,2004,Schoharie,0
109,2004,Schuyler,0
110,2004,Seneca,1
111,2004,St. Lawrence,1
112,2004,Steuben,0
113,2004,Suffolk,49
114,2004,Sullivan,3
115,2004,Tioga,2
116,2004,Tompkins,1
117,2004,Ulster,2
118,2004,Warren,0
119,2004,Washington,0
120,2004,Wayne,0
121,2004,Westchester,7
122,2004,Wyoming,0
123,2004,Yates,0
124,2005,Albany,10
125,2005,Allegany,1
126,2005,Bronx,95
127,2005,Broome,1
128,2005,Cattaraugus,1
129,2005,Cayuga,1
130,2005,Chautauqua,3
131,2005,Chemung,2
132,2005,Chenango,0
133,2005,Clinton,0
134,2005,Columbia,4
135,2005,Cortland,0
136,2005,Delaware,1
137,2005,Dutchess,19
138,2005,Erie,44
139,2005,Essex,0
140,2005,Franklin,1
141,2005,Fulton,1
142,2005,Genesee,0
143,2005,Greene,3
144,2005,Hamilton,0
145,2005,Herkimer,1
146,2005,Jefferson,1
147,2005,Kings,147
148,2005,Lewis,1
149,2005,Livingston,1
150,2005,Madison,0
151,2005,Monroe,14
152,2005,Montgomery,1
153,2005,Nassau,68
154,2005,New York,123
155,2005,Niagara,11
156,2005,Oneida,2
157,2005,Onondaga,8
158,2005,Ontario,3
159,2005,Orange,13
160,2005,Orleans,2
161,2005,Oswego,1
162,2005,Otsego,3
163,2005,Putnam,2
164,2005,Queens,91
165,2005,Rensselaer,2
166,2005,Richmond,43
167,2005,Rockland,7
168,2005,Saratoga,1
169,2005,Schenectady,2
170,2005,Schoharie,1
171,2005,Schuyler,0
172,2005,Seneca,0
173,2005,St. Lawrence,0
174,2005,Steuben,2
175,2005,Suffolk,112
176,2005,Sullivan,8
177,2005,Tioga,0
178,2005,Tompkins,1
179,2005,Ulster,2
180,2005,Warren,0
181,2005,Washington,2
182,2005,Wayne,1
183,2005,Westchester,31
184,2005,Wyoming,0
185,2005,Yates,0
186,2006,Albany,10
187,2006,Allegany,1
188,2006,Bronx,110
189,2006,Broome,0
190,2006,Cattaraugus,1
191,2006,Cayuga,1
192,2006,Chautauqua,5
193,2006,Chemung,5
194,2006,Chenango,0
195,2006,Clinton,3
196,2006,Columbia,3
197,2006,Cortland,0
198,2006,Delaware,1
199,2006,Dutchess,11
200,2006,Erie,29
201,2006,Essex,1
202,2006,Franklin,0
203,2006,Fulton,1
204,2006,Genesee,1
205,2006,Greene,1
206,2006,Hamilton,0
207,2006,Herkimer,3
208,2006,Jefferson,2
209,2006,Kings,163
210,2006,Lewis,2
211,2006,Livingston,1
212,2006,Madison,3
213,2006,Monroe,26
214,2006,Montgomery,0
215,2006,Nassau,84
216,2006,New York,124
217,2006,Niagara,12
218,2006,Oneida,8
219,2006,Onondaga,7
220,2006,Ontario,9
221,2006,Orange,24
222,2006,Orleans,1
223,2006,Oswego,1
224,2006,Otsego,1
225,2006,Putnam,5
226,2006,Queens,99
227,2006,Rensselaer,6
228,2006,Richmond,35
229,2006,Rockland,4
230,2006,Saratoga,1
231,2006,Schenectady,0
232,2006,Schoharie,3
233,2006,Schuyler,1
234,2006,Seneca,0
235,2006,St. Lawrence,2
236,2006,Steuben,4
237,2006,Suffolk,115
238,2006,Sullivan,13
239,2006,Tioga,0
240,2006,Tompkins,1
241,2006,Ulster,5
242,2006,Warren,3
243,2006,Washington,1
244,2006,Wayne,2
245,2006,Westchester,40
246,2006,Wyoming,2
247,2006,Yates,0
248,2007,Albany,22
249,2007,Allegany,1
250,2007,Bronx,97
251,2007,Broome,6
252,2007,Cattaraugus,3
253,2007,Cayuga,0
254,2007,Chautauqua,7
255,2007,Chemung,3
256,2007,Chenango,1
257,2007,Clinton,6
258,2007,Columbia,3
259,2007,Cortland,1
260,2007,Delaware,1
261,2007,Dutchess,24
262,2007,Erie,38
263,2007,Essex,0
264,2007,Franklin,1
265,2007,Fulton,1
266,2007,Genesee,1
267,2007,Greene,6
268,2007,Hamilton,0
269,2007,Herkimer,2
270,2007,Jefferson,2
271,2007,Kings,142
272,2007,Lewis,0
273,2007,Livingston,3
274,2007,Madison,0
275,2007,Monroe,42
276,2007,Montgomery,1
277,2007,Nassau,91
278,2007,New York,78
279,2007,Niagara,10
280,2007,Oneida,12
281,2007,Onondaga,5
282,2007,Ontario,0
283,2007,Orange,17
284,2007,Orleans,3
285,2007,Oswego,0
286,2007,Otsego,2
287,2007,Putnam,3
288,2007,Queens,86
289,2007,Rensselaer,4
290,2007,Richmond,37
291,2007,Rockland,3
292,2007,Saratoga,1
293,2007,Schenectady,4
294,2007,Schoharie,0
295,2007,Schuyler,0
296,2007,Seneca,1
297,2007,St. Lawrence,3
298,2007,Steuben,7
299,2007,Suffolk,139
300,2007,Sullivan,10
301,2007,Tioga,1
302,2007,Tompkins,1
303,2007,Ulster,15
304,2007,Warren,3
305,2007,Washington,2
306,2007,Wayne,1
307,2007,Westchester,55
308,2007,Wyoming,3
309,2007,Yates,0
310,2008,Albany,18
311,2008,Allegany,3
312,2008,Bronx,88
313,2008,Broome,8
314,2008,Cattaraugus,2
315,2008,Cayuga,4
316,2008,Chautauqua,8
317,2008,Chemung,5
318,2008,Chenango,2
319,2008,Clinton,7
320,2008,Columbia,1
321,2008,Cortland,3
322,2008,Delaware,1
323,2008,Dutchess,28
324,2008,Erie,52
325,2008,Essex,0
326,2008,Franklin,1
327,2008,Fulton,2
328,2008,Genesee,4
329,2008,Greene,3
330,2008,Hamilton,0
331,2008,Herkimer,5
332,2008,Jefferson,5
333,2008,Kings,137
334,2008,Lewis,0
335,2008,Livingston,4
336,2008,Madison,2
337,2008,Monroe,40
338,2008,Montgomery,0
339,2008,Nassau,95
340,2008,New York,80
341,2008,Niagara,17
342,2008,Oneida,5
343,2008,Onondaga,27
344,2008,Ontario,3
345,2008,Orange,28
346,2008,Orleans,1
347,2008,Oswego,6
348,2008,Otsego,1
349,2008,Putnam,4
350,2008,Queens,92
351,2008,Rensselaer,5
352,2008,Richmond,45
353,2008,Rockland,11
354,2008,Saratoga,13
355,2008,Schenectady,5
356,2008,Schoharie,0
357,2008,Schuyler,1
358,2008,Seneca,1
359,2008,St. Lawrence,3
360,2008,Steuben,5
361,2008,Suffolk,152
362,2008,Sullivan,14
363,2008,Tioga,2
364,2008,Tompkins,4
365,2008,Ulster,9
366,2008,Warren,1
367,2008,Washington,1
368,2008,Wayne,2
369,2008,Westchester,45
370,2008,Wyoming,1
371,2008,Yates,0
372,2009,Albany,9
373,2009,Allegany,3
374,2009,Bronx,92
375,2009,Broome,6
376,2009,Cattaraugus,0
377,2009,Cayuga,4
378,2009,Chautauqua,5
379,2009,Chemung,6
380,2009,Chenango,2
381,2009,Clinton,0
382,2009,Columbia,7
383,2009,Cortland,3
384,2009,Delaware,6
385,2009,Dutchess,20
386,2009,Erie,54
387,2009,Essex,0
388,2009,Franklin,2
389,2009,Fulton,1
390,2009,Genesee,8
391,2009,Greene,6
392,2009,Hamilton,1
393,2009,Herkimer,5
394,2009,Jefferson,8
395,2009,Kings,120
396,2009,Lewis,1
397,2009,Livingston,4
398,2009,Madison,6
399,2009,Monroe,38
400,2009,Montgomery,1
401,2009,Nassau,84
402,2009,New York,68
403,2009,Niagara,12
404,2009,Oneida,6
405,2009,Onondaga,32
406,2009,Ontario,0
407,2009,Orange,15
408,2009,Orleans,1
409,2009,Oswego,10
410,2009,Otsego,5
411,2009,Putnam,1
412,2009,Queens,77
413,2009,Rensselaer,11
414,2009,Richmond,46
415,2009,Rockland,13
416,2009,Saratoga,7
417,2009,Schenectady,7
418,2009,Schoharie,1
419,2009,Schuyler,0
420,2009,Seneca,3
421,2009,St. Lawrence,6
422,2009,Steuben,3
423,2009,Suffolk,133
424,2009,Sullivan,3
425,2009,Tioga,0
426,2009,Tompkins,2
427,2009,Ulster,13
428,2009,Warren,0
429,2009,Washington,1
430,2009,Wayne,5
431,2009,Westchester,45
432,2009,Wyoming,0
433,2009,Yates,2
434,2010,Albany,15
435,2010,Allegany,3
436,2010,Bronx,71
437,2010,Broome,10
438,2010,Cattaraugus,1
439,2010,Cayuga,7
440,2010,Chautauqua,5
441,2010,Chemung,5
442,2010,Chenango,3
443,2010,Clinton,4
444,2010,Columbia,1
445,2010,Cortland,2
446,2010,Delaware,2
447,2010,Dutchess,32
448,2010,Erie,47
449,2010,Essex,0
450,2010,Franklin,0
451,2010,Fulton,2
452,2010,Genesee,5
453,2010,Greene,4
454,2010,Hamilton,0
455,2010,Herkimer,2
456,2010,Jefferson,3
457,2010,Kings,130
458,2010,Lewis,2
459,2010,Livingston,2
460,2010,Madison,4
461,2010,Monroe,35
462,2010,Montgomery,1
463,2010,Nassau,65
464,2010,New York,50
465,2010,Niagara,21
466,2010,Oneida,13
467,2010,Onondaga,22
468,2010,Ontario,2
469,2010,Orange,25
470,2010,Orleans,1
471,2010,Oswego,10
472,2010,Otsego,1
473,2010,Putnam,5
474,2010,Queens,87
475,2010,Rensselaer,9
476,2010,Richmond,47
477,2010,Rockland,9
478,2010,Saratoga,2
479,2010,Schenectady,2
480,2010,Schoharie,0
481,2010,Schuyler,0
482,2010,Seneca,1
483,2010,St. Lawrence,5
484,2010,Steuben,3
485,2010,Suffolk,138
486,2010,Sullivan,7
487,2010,Tioga,1
488,2010,Tompkins,2
489,2010,Ulster,10
490,2010,Warren,1
491,2010,Washington,0
492,2010,Wayne,3
493,2010,Westchester,28
494,2010,Wyoming,0
495,2010,Yates,0
496,2011,Albany,19
497,2011,Allegany,5
498,2011,Bronx,93
499,2011,Broome,8
500,2011,Cattaraugus,1
501,2011,Cayuga,8
502,2011,Chautauqua,5
503,2011,Chemung,8
504,2011,Chenango,1
505,2011,Clinton,7
506,2011,Columbia,4
507,2011,Cortland,1
508,2011,Delaware,2
509,2011,Dutchess,27
510,2011,Erie,61
511,2011,Essex,2
512,2011,Franklin,2
513,2011,Fulton,4
514,2011,Genesee,2
515,2011,Greene,7
516,2011,Hamilton,0
517,2011,Herkimer,3
518,2011,Jefferson,12
519,2011,Kings,137
520,2011,Lewis,0
521,2011,Livingston,3
522,2011,Madison,6
523,2011,Monroe,48
524,2011,Montgomery,0
525,2011,Nassau,102
526,2011,New York,64
527,2011,Niagara,16
528,2011,Oneida,7
529,2011,Onondaga,32
530,2011,Ontario,3
531,2011,Orange,38
532,2011,Orleans,1
533,2011,Oswego,13
534,2011,Otsego,4
535,2011,Putnam,4
536,2011,Queens,90
537,2011,Rensselaer,5
538,2011,Richmond,66
539,2011,Rockland,8
540,2011,Saratoga,8
541,2011,Schenectady,5
542,2011,Schoharie,1
543,2011,Schuyler,0
544,2011,Seneca,1
545,2011,St. Lawrence,6
546,2011,Steuben,4
547,2011,Suffolk,216
548,2011,Sullivan,25
549,2011,Tioga,3
550,2011,Tompkins,5
551,2011,Ulster,17
552,2011,Warren,1
553,2011,Washington,0
554,2011,Wayne,4
555,2011,Westchester,52
556,2011,Wyoming,0
557,2011,Yates,1
558,2012,Albany,14
559,2012,Allegany,3
560,2012,Bronx,109
561,2012,Broome,13
562,2012,Cattaraugus,4
563,2012,Cayuga,2
564,2012,Chautauqua,8
565,2012,Chemung,12
566,2012,Chenango,3
567,2012,Clinton,3
568,2012,Columbia,2
569,2012,Cortland,2
570,2012,Delaware,3
571,2012,Dutchess,39
572,2012,Erie,56
573,2012,Essex,0
574,2012,Franklin,5
575,2012,Fulton,6
576,2012,Genesee,2
577,2012,Greene,10
578,2012,Hamilton,0
579,2012,Herkimer,0
580,2012,Jefferson,10
581,2012,Kings,141
582,2012,Lewis,1
583,2012,Livingston,6
584,2012,Madison,4
585,2012,Monroe,48
586,2012,Montgomery,0
587,2012,Nassau,111
588,2012,New York,109
589,2012,Niagara,20
590,2012,Oneida,11
591,2012,Onondaga,42
592,2012,Ontario,4
593,2012,Orange,41
594,2012,Orleans,0
595,2012,Oswego,10
596,2012,Otsego,2
597,2012,Putnam,12
598,2012,Queens,94
599,2012,Rensselaer,12
600,2012,Richmond,67
601,2012,Rockland,20
602,2012,Saratoga,4
603,2012,Schenectady,5
604,2012,Schoharie,0
605,2012,Schuyler,0
