,Year,Region,Race_or_Ethnicity,Sex,Age_Group,Opioid_Poisoning_Deaths,total
6,2003,NYC,Black Non Hispanic,F,20-24,1,27717
7,2003,NYC,Black Non Hispanic,F,25-34,3,27717
8,2003,NYC,Black Non Hispanic,F,55-64,3,27717
9,2003,NYC,Black Non Hispanic,F,35-44,10,27717
10,2003,NYC,Black Non Hispanic,F,45-54,12,27717
18,2003,NYC,Black Non Hispanic,M,65-74,4,27717
19,2003,NYC,Black Non Hispanic,M,55-64,6,27717
20,2003,NYC,Black Non Hispanic,M,25-34,7,27717
21,2003,NYC,Black Non Hispanic,M,35-44,20,27717
22,2003,NYC,Black Non Hispanic,M,45-54,35,27717
28,2003,NYC,Hispanic,F,19-Oct,1,27717
29,2003,NYC,Hispanic,F,20-24,1,27717
30,2003,NYC,Hispanic,F,55-64,1,27717
31,2003,NYC,Hispanic,F,75-84,1,27717
32,2003,NYC,Hispanic,F,25-34,4,27717
33,2003,NYC,Hispanic,F,35-44,14,27717
34,2003,NYC,Hispanic,F,45-54,15,27717
40,2003,NYC,Hispanic,M,65-74,2,27717
41,2003,NYC,Hispanic,M,19-Oct,4,27717
42,2003,NYC,Hispanic,M,55-64,5,27717
43,2003,NYC,Hispanic,M,20-24,6,27717
44,2003,NYC,Hispanic,M,25-34,27,27717
45,2003,NYC,Hispanic,M,45-54,29,27717
46,2003,NYC,Hispanic,M,35-44,48,27717
56,2003,NYC,Not Stated,F,19-Oct,1,27717
57,2003,NYC,Not Stated,F,35-44,1,27717
58,2003,NYC,Not Stated,F,55-64,1,27717
67,2003,NYC,Not Stated,M,25-34,1,27717
68,2003,NYC,Not Stated,M,55-64,1,27717
69,2003,NYC,Not Stated,M,35-44,4,27717
70,2003,NYC,Not Stated,M,45-54,6,27717
93,2003,NYC,Other Non Hispanic,M,25-34,1,27717
94,2003,NYC,Other Non Hispanic,M,55-64,1,27717
103,2003,NYC,White Non Hispanic,F,55-64,3,27717
104,2003,NYC,White Non Hispanic,F,25-34,5,27717
105,2003,NYC,White Non Hispanic,F,35-44,21,27717
106,2003,NYC,White Non Hispanic,F,45-54,21,27717
112,2003,NYC,White Non Hispanic,M,65-74,2,27717
113,2003,NYC,White Non Hispanic,M,19-Oct,6,27717
114,2003,NYC,White Non Hispanic,M,20-24,6,27717
115,2003,NYC,White Non Hispanic,M,55-64,17,27717
116,2003,NYC,White Non Hispanic,M,25-34,34,27717
117,2003,NYC,White Non Hispanic,M,35-44,45,27717
118,2003,NYC,White Non Hispanic,M,45-54,62,27717
127,2003,ROS,Black Non Hispanic,F,20-24,1,27717
128,2003,ROS,Black Non Hispanic,F,25-34,1,27717
129,2003,ROS,Black Non Hispanic,F,45-54,1,27717
130,2003,ROS,Black Non Hispanic,F,35-44,2,27717
139,2003,ROS,Black Non Hispanic,M,55-64,1,27717
140,2003,ROS,Black Non Hispanic,M,25-34,2,27717
141,2003,ROS,Black Non Hispanic,M,45-54,3,27717
142,2003,ROS,Black Non Hispanic,M,35-44,4,27717
151,2003,ROS,Hispanic,F,20-24,1,27717
152,2003,ROS,Hispanic,F,45-54,1,27717
153,2003,ROS,Hispanic,F,25-34,2,27717
154,2003,ROS,Hispanic,F,35-44,2,27717
162,2003,ROS,Hispanic,M,55-64,1,27717
163,2003,ROS,Hispanic,M,19-Oct,3,27717
164,2003,ROS,Hispanic,M,35-44,6,27717
165,2003,ROS,Hispanic,M,45-54,6,27717
166,2003,ROS,Hispanic,M,25-34,7,27717
213,2003,ROS,Other Non Hispanic,M,35-44,1,27717
214,2003,ROS,Other Non Hispanic,M,25-34,2,27717
219,2003,ROS,White Non Hispanic,F,19-Oct,1,27717
220,2003,ROS,White Non Hispanic,F,65-74,2,27717
221,2003,ROS,White Non Hispanic,F,75-84,2,27717
222,2003,ROS,White Non Hispanic,F,20-24,4,27717
223,2003,ROS,White Non Hispanic,F,55-64,6,27717
224,2003,ROS,White Non Hispanic,F,25-34,9,27717
225,2003,ROS,White Non Hispanic,F,35-44,19,27717
226,2003,ROS,White Non Hispanic,F,45-54,24,27717
231,2003,ROS,White Non Hispanic,M,75-84,1,27717
232,2003,ROS,White Non Hispanic,M,85+,1,27717
233,2003,ROS,White Non Hispanic,M,19-Oct,5,27717
234,2003,ROS,White Non Hispanic,M,55-64,6,27717
235,2003,ROS,White Non Hispanic,M,20-24,14,27717
236,2003,ROS,White Non Hispanic,M,25-34,28,27717
237,2003,ROS,White Non Hispanic,M,45-54,49,27717
238,2003,ROS,White Non Hispanic,M,35-44,51,27717
247,2004,NYC,Black Non Hispanic,F,25-34,1,27717
248,2004,NYC,Black Non Hispanic,F,65-74,1,27717
249,2004,NYC,Black Non Hispanic,F,35-44,9,27717
250,2004,NYC,Black Non Hispanic,F,45-54,14,27717
257,2004,NYC,Black Non Hispanic,M,65-74,1,27717
258,2004,NYC,Black Non Hispanic,M,75-84,1,27717
259,2004,NYC,Black Non Hispanic,M,25-34,5,27717
260,2004,NYC,Black Non Hispanic,M,55-64,9,27717
261,2004,NYC,Black Non Hispanic,M,35-44,12,27717
262,2004,NYC,Black Non Hispanic,M,45-54,27,27717
270,2004,NYC,Hispanic,F,55-64,1,27717
271,2004,NYC,Hispanic,F,20-24,2,27717
272,2004,NYC,Hispanic,F,25-34,2,27717
273,2004,NYC,Hispanic,F,35-44,12,27717
274,2004,NYC,Hispanic,F,45-54,13,27717
280,2004,NYC,Hispanic,M,65-74,1,27717
281,2004,NYC,Hispanic,M,75-84,1,27717
282,2004,NYC,Hispanic,M,25-34,6,27717
283,2004,NYC,Hispanic,M,20-24,7,27717
284,2004,NYC,Hispanic,M,55-64,8,27717
